"RLS","climate_change_factor","mean_t_survived","N_survived","mean_t_extinct","N_extinct","sd_ext","se_ext","extinction_ratio"
"CRW_patch_l_1",0,2601,24,98,1,NA,NA,0.04
"CRW_patch_l_1",25,2601,24,116,1,NA,NA,0.04
"CRW_patch_l_1",50,2601,20,94.8,5,11.9037809119624,1.25476868164791,0.2
"CRW_patch_l_1",75,2601,17,125.5,8,55.5569206181501,5.34596717903927,0.32
"CRW_patch_l_1",100,2601,6,86.3684210526316,19,9.71373898898868,1.0354880554719,0.76
"CRW_patch_m_1",0,2601,25,NA,0,NA,NA,0
"CRW_patch_m_1",25,2601,25,NA,0,NA,NA,0
"CRW_patch_m_1",50,2601,20,114.8,5,27.8513913476508,2.56392839478003,0.2
"CRW_patch_m_1",75,2601,16,308.888888888889,9,619.681661106016,59.9068873383615,0.36
"CRW_patch_m_1",100,2601,13,83.1666666666667,12,5.57320429022713,0.590758473248311,0.48
"CRW_patch_s_1",0,2601,24,131,1,NA,NA,0.04
"CRW_patch_s_1",25,2601,25,NA,0,NA,NA,0
"CRW_patch_s_1",50,2601,23,109,2,25.4558441227157,2.25884089849737,0.08
"CRW_patch_s_1",75,2601,20,319.4,5,450.37573202827,43.1381714362394,0.2
"CRW_patch_s_1",100,2601,14,87.7272727272727,11,7.28135851460301,0.75913410210597,0.44
"CRW_rand_2",0,2601,23,96.5,2,6.36396103067893,0.663488802697037,0.08
"CRW_rand_2",25,2601,25,NA,0,NA,NA,0
"CRW_rand_2",50,2601,16,135.555555555556,9,42.5561720291872,4.61586494065054,0.36
"CRW_rand_2",75,2601,14,184.454545454545,11,235.317387218354,21.0474269643152,0.44
"CRW_rand_2",100,2601,12,93.1538461538462,13,15.2962204146763,1.46511219777133,0.52
"HD-CRW_patch_l_1",0,2601,25,NA,0,NA,NA,0
"HD-CRW_patch_l_1",25,2601,25,NA,0,NA,NA,0
"HD-CRW_patch_l_1",50,2601,25,NA,0,NA,NA,0
"HD-CRW_patch_l_1",75,2601,25,NA,0,NA,NA,0
"HD-CRW_patch_l_1",100,2601,12,88,13,7.23417813807024,0.766821348994281,0.52
"HD-CRW_patch_m_1",0,2601,25,NA,0,NA,NA,0
"HD-CRW_patch_m_1",25,2601,23,91.5,2,0.707106781186548,0.0737209780774486,0.08
"HD-CRW_patch_m_1",50,2601,24,106,1,NA,NA,0.04
"HD-CRW_patch_m_1",75,2601,23,93.5,2,0.707106781186548,0.0729324957489473,0.08
"HD-CRW_patch_m_1",100,2601,18,80.2857142857143,7,5.67786009321252,0.647052209279672,0.28
"HD-CRW_patch_s_1",0,2601,25,NA,0,NA,NA,0
"HD-CRW_patch_s_1",25,2601,24,106,1,NA,NA,0.04
"HD-CRW_patch_s_1",50,2601,25,NA,0,NA,NA,0
"HD-CRW_patch_s_1",75,2601,24,102,1,NA,NA,0.04
"HD-CRW_patch_s_1",100,2601,20,86.2,5,4.54972526643093,0.493486992497985,0.2
"HD-CRW_rand_2",0,2601,24,279,1,NA,NA,0.04
"HD-CRW_rand_2",25,2601,25,NA,0,NA,NA,0
"HD-CRW_rand_2",50,2601,25,NA,0,NA,NA,0
"HD-CRW_rand_2",75,2601,24,128,1,NA,NA,0.04
"HD-CRW_rand_2",100,2601,23,88.5,2,12.0208152801713,1.34396800557156,0.08
"OFF_patch_m_1",0,2601,25,NA,0,NA,NA,0
"OFF_patch_m_1",25,2601,25,NA,0,NA,NA,0
"OFF_patch_m_1",50,2601,25,NA,0,NA,NA,0
"OFF_patch_m_1",75,2601,25,NA,0,NA,NA,0
"OFF_patch_m_1",100,2601,22,299.666666666667,3,249.860627817456,17.9389476258893,0.12
"OFF_patch_s_1",0,2601,25,NA,0,NA,NA,0
"OFF_patch_s_1",25,2601,25,NA,0,NA,NA,0
"OFF_patch_s_1",50,2601,24,2453,1,NA,NA,0.04
"OFF_patch_s_1",75,2601,25,NA,0,NA,NA,0
"OFF_patch_s_1",100,2601,20,450.85714,5,314.65174,7.464257,0.21
"OFF_rand_2",0,2601,25,NA,0,NA,NA,0
"OFF_rand_2",25,2601,25,NA,0,NA,NA,0
"OFF_rand_2",50,2601,24,2448,1,NA,NA,0.04
"OFF_rand_2",75,2601,24,2569,1,NA,NA,0.04
"OFF_rand_2",100,2601,25,NA,0,NA,NA,0
"OFF_patch_l_1",0,2601,25,NA,0,NA,NA,0
"OFF_patch_l_1",25,2601,25,NA,0,NA,NA,0
"OFF_patch_l_1",50,2601,25,NA,0,NA,NA,0
"OFF_patch_l_1",75,2601,25,NA,0,NA,NA,0
"OFF_patch_l_1",100,2601,24,75.25,1,NA,NA,0.02
